Full Name,County,State,Population (as of July 2019)
"Autauga County, Alabama",Autauga County,Alabama,55869
"Baldwin County, Alabama",Baldwin County,Alabama,223234
"Barbour County, Alabama",Barbour County,Alabama,24686
"Bibb County, Alabama",Bibb County,Alabama,22394
"Blount County, Alabama",Blount County,Alabama,57826
"Bullock County, Alabama",Bullock County,Alabama,10101
"Butler County, Alabama",Butler County,Alabama,19448
"Calhoun County, Alabama",Calhoun County,Alabama,113605
"Chambers County, Alabama",Chambers County,Alabama,33254
"Cherokee County, Alabama",Cherokee County,Alabama,26196
"Chilton County, Alabama",Chilton County,Alabama,44428
"Choctaw County, Alabama",Choctaw County,Alabama,12589
"Clarke County, Alabama",Clarke County,Alabama,23622
"Clay County, Alabama",Clay County,Alabama,13235
"Cleburne County, Alabama",Cleburne County,Alabama,14910
"Coffee County, Alabama",Coffee County,Alabama,52342
"Colbert County, Alabama",Colbert County,Alabama,55241
"Conecuh County, Alabama",Conecuh County,Alabama,12067
"Coosa County, Alabama",Coosa County,Alabama,10663
"Covington County, Alabama",Covington County,Alabama,37049
"Crenshaw County, Alabama",Crenshaw County,Alabama,13772
"Cullman County, Alabama",Cullman County,Alabama,83768
"Dale County, Alabama",Dale County,Alabama,49172
"Dallas County, Alabama",Dallas County,Alabama,37196
"DeKalb County, Alabama",DeKalb County,Alabama,71513
"Elmore County, Alabama",Elmore County,Alabama,81209
"Escambia County, Alabama",Escambia County,Alabama,36633
"Etowah County, Alabama",Etowah County,Alabama,102268
"Fayette County, Alabama",Fayette County,Alabama,16302
"Franklin County, Alabama",Franklin County,Alabama,31362
"Geneva County, Alabama",Geneva County,Alabama,26271
"Greene County, Alabama",Greene County,Alabama,8111
"Hale County, Alabama",Hale County,Alabama,14651
"Henry County, Alabama",Henry County,Alabama,17205
"Houston County, Alabama",Houston County,Alabama,105882
"Jackson County, Alabama",Jackson County,Alabama,51626
"Jefferson County, Alabama",Jefferson County,Alabama,658573
"Lamar County, Alabama",Lamar County,Alabama,13805
"Lauderdale County, Alabama",Lauderdale County,Alabama,92729
"Lawrence County, Alabama",Lawrence County,Alabama,32924
"Lee County, Alabama",Lee County,Alabama,164542
"Limestone County, Alabama",Limestone County,Alabama,98915
"Lowndes County, Alabama",Lowndes County,Alabama,9726
"Macon County, Alabama",Macon County,Alabama,18068
"Madison County, Alabama",Madison County,Alabama,372909
"Marengo County, Alabama",Marengo County,Alabama,18863
"Marion County, Alabama",Marion County,Alabama,29709
"Marshall County, Alabama",Marshall County,Alabama,96774
"Mobile County, Alabama",Mobile County,Alabama,413210
"Monroe County, Alabama",Monroe County,Alabama,20733
"Montgomery County, Alabama",Montgomery County,Alabama,226486
"Morgan County, Alabama",Morgan County,Alabama,119679
"Perry County, Alabama",Perry County,Alabama,8923
"Pickens County, Alabama",Pickens County,Alabama,19930
"Pike County, Alabama",Pike County,Alabama,33114
"Randolph County, Alabama",Randolph County,Alabama,22722
"Russell County, Alabama",Russell County,Alabama,57961
"St Clair County, Alabama",St Clair County,Alabama,89512
"Shelby County, Alabama",Shelby County,Alabama,217702
"Sumter County, Alabama",Sumter County,Alabama,12427
"Talladega County, Alabama",Talladega County,Alabama,79978
"Tallapoosa County, Alabama",Tallapoosa County,Alabama,40367
"Tuscaloosa County, Alabama",Tuscaloosa County,Alabama,209355
"Walker County, Alabama",Walker County,Alabama,63521
"Washington County, Alabama",Washington County,Alabama,16326
"Wilcox County, Alabama",Wilcox County,Alabama,10373
"Winston County, Alabama",Winston County,Alabama,23629
"Aleutians East Borough, Alaska",Aleutians East Borough,Alaska,3337
"Aleutians West Census Area, Alaska",Aleutians West Census Area,Alaska,5634
"Anchorage Municipality, Alaska",Anchorage Municipality,Alaska,288000
"Bethel Census Area, Alaska",Bethel Census Area,Alaska,18386
"Bristol Bay Borough, Alaska",Bristol Bay Borough,Alaska,836
"Denali Borough, Alaska",Denali Borough,Alaska,2097
